gene_id	group
ENSG00000232238	RPP
ENSG00000234272	RPP
ENSG00000214024	RPP
ENSG00000238069	RPP
ENSG00000230282	RPP
ENSG00000233934	RPP
ENSG00000234415	RPP
ENSG00000231541	RPP
ENSG00000232430	RPP
ENSG00000237824	RPP
ENSG00000224019	RPP
ENSG00000232568	RPP
ENSG00000226242	RPP
ENSG00000226658	RPP
ENSG00000224672	RPP
ENSG00000232994	RPP
ENSG00000225124	RPP
ENSG00000204196	RPP
ENSG00000223433	RPP
ENSG00000224839	RPP
ENSG00000213917	RPP
ENSG00000230076	RPP
ENSG00000231035	RPP
ENSG00000232625	RPP
ENSG00000223903	RPP
ENSG00000226331	RPP
ENSG00000237322	RPP
ENSG00000228884	RPP
ENSG00000233445	RPP
ENSG00000231546	RPP
ENSG00000271153	RPP
ENSG00000231660	RPP
ENSG00000184423	RPP
ENSG00000214074	RPP
ENSG00000214073	RPP
ENSG00000227578	RPP
ENSG00000229468	RPP
ENSG00000215016	RPP
ENSG00000229756	RPP
ENSG00000227523	RPP
ENSG00000226216	RPP
ENSG00000235670	RPP
ENSG00000237676	RPP
ENSG00000227337	RPP
ENSG00000224858	RPP
ENSG00000235482	RPP
ENSG00000232439	RPP
ENSG00000234067	RPP
ENSG00000234270	RPP
ENSG00000227123	RPP
ENSG00000224094	RPP
ENSG00000229806	RPP
ENSG00000226360	RPP
ENSG00000223409	RPP
ENSG00000214560	RPP
ENSG00000244674	RPP
ENSG00000243422	RPP
ENSG00000241367	RPP
ENSG00000244048	RPP
ENSG00000218754	RPP
ENSG00000250562	RPP
ENSG00000242829	RPP
ENSG00000242052	RPP
ENSG00000242445	RPP
ENSG00000240622	RPP
ENSG00000242229	RPP
ENSG00000239483	RPP
ENSG00000241673	RPP
ENSG00000251474	RPP
ENSG00000242899	RPP
ENSG00000214289	RPP
ENSG00000242321	RPP
ENSG00000251137	RPP
ENSG00000224085	RPP
ENSG00000242390	RPP
ENSG00000239797	RPP
ENSG00000239412	RPP
ENSG00000241993	RPP
ENSG00000241143	RPP
ENSG00000240068	RPP
ENSG00000240601	RPP
ENSG00000239212	RPP
ENSG00000242285	RPP
ENSG00000234851	RPP
ENSG00000244571	RPP
